"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal" "ciFinal_Down" "ciFinal_Up"
"MPWI" "45" "-1.8019134859121" "-1.531838" "0.68504656389557" "-3.14458007888034" "-0.459246892943869"
"MPWI" "45" "-1.94877646117678" "-1.656254" "0.68168030911155" "-3.28484531600555" "-0.612707606348012"
"MPWI" "45" "-1.73369913907168" "-1.560514" "0.708963231147506" "-3.12324153848393" "-0.344156739659417"
"MPWI" "45" "-1.88936455519584" "-1.67074" "0.698887476566143" "-3.25915883851156" "-0.519570271880119"
"MPWI" "45" "-1.779002390274" "-1.506717" "0.668858485814791" "-3.08994093322498" "-0.468063847323013"
"MPWI" "45" "-1.95867224082155" "-1.584845" "0.655335387828442" "-3.24310599875988" "-0.674238482883212"
"MPWI" "45" "-1.80122458440238" "-1.558991" "0.672418579766694" "-3.11914078328067" "-0.483308385524083"
"MPWI" "45" "-1.8903260784219" "-1.602646" "0.659838960990332" "-3.18358667755928" "-0.597065479284524"
"MPWI" "45" "-1.97088498755591" "-1.593158" "0.647958782673165" "-3.24086086506173" "-0.700909110050094"
"MPWI" "45" "-1.58844411338562" "-1.500334" "0.721136830169466" "-3.00184632844315" "-0.17504189832809"
"MPWI" "45" "-1.97520510120051" "-1.610418" "0.65037574579852" "-3.24991813938399" "-0.700492063017034"
"MPWI" "45" "-2.03817354671293" "-1.703048" "0.661119354172388" "-3.3339436703732" "-0.742403423052673"
"MPWI" "45" "-1.78674450244737" "-1.556855" "0.671829523136118" "-3.10350617154488" "-0.469982833349865"
"MPWI" "45" "-1.81945591184894" "-1.543456" "0.657055952594732" "-3.10726191476227" "-0.531649908935608"
"MPWI" "45" "-1.92344694854593" "-1.616941" "0.659692449270828" "-3.21642038998977" "-0.630473507102091"
"MPWI" "45" "-1.75362113641817" "-1.500445" "0.700765162666582" "-3.12709561686503" "-0.38014665597132"
"MPWI" "45" "-2.06712984880061" "-1.711074" "0.653918727346936" "-3.34878700321687" "-0.78547269438435"
"MPWI" "45" "-1.87723938753362" "-1.542114" "0.656671932595685" "-3.16429272507948" "-0.590186049987763"
"MPWI" "45" "-1.74695824903518" "-1.539917" "0.684073735797858" "-3.08771813396875" "-0.40619836410161"
"MPWI" "45" "-1.80235251811256" "-1.500849" "0.662891728834969" "-3.10159643227859" "-0.503108603946531"
"MPWI" "45" "-1.80217332165059" "-1.520852" "0.683686772406024" "-3.14217477227283" "-0.462171871028347"
"MPWI" "45" "-1.94000373751503" "-1.600184" "0.668254814351993" "-3.24975910614044" "-0.630248368889626"
"MPWI" "45" "-1.96243175293549" "-1.585066" "0.653306854980883" "-3.24288965955115" "-0.681973846319824"
"MPWI" "45" "-1.92097126887369" "-1.591748" "0.664123470734185" "-3.22262935280043" "-0.619313184946945"
"MPWI" "45" "-1.74647452290666" "-1.551113" "0.699578088189735" "-3.11762238013192" "-0.37532666568139"
"MPWI" "45" "-1.74687292358166" "-1.506692" "0.705333484015569" "-3.12930114934233" "-0.36444469782099"
"MPWI" "45" "-1.94305585036068" "-1.683358" "0.683300456581248" "-3.2823001358797" "-0.603811564841657"
"MPWI" "45" "-1.8869466636937" "-1.564157" "0.670100276918498" "-3.20031907248427" "-0.573574254903127"
"MPWI" "45" "-1.91820314327722" "-1.624828" "0.667345472089358" "-3.22617623381825" "-0.610230052736204"
"MPWI" "45" "-1.75230563609359" "-1.532514" "0.673563517103942" "-3.07246587091745" "-0.432145401269737"
"MPWI" "45" "-1.96327687212152" "-1.589823" "0.64775845407528" "-3.23286011279041" "-0.693693631452631"
"MPWI" "45" "-1.93568636469048" "-1.638876" "0.667671163838514" "-3.24429779932991" "-0.627074930051053"
"MPWI" "45" "-1.82749112421788" "-1.552864" "0.668329280136898" "-3.13739244309978" "-0.517589805335981"
"MPWI" "45" "-1.98136919190128" "-1.649517" "0.655913973612958" "-3.26693695713923" "-0.695801426663329"
"MPWI" "45" "-1.88416961988919" "-1.602537" "0.666284152268776" "-3.19006256180579" "-0.578276677972591"
"MPWI" "45" "-1.8745913903264" "-1.56873" "0.663526882781298" "-3.17508018335188" "-0.574102597300927"
"MPWI" "45" "-1.76479271148226" "-1.531377" "0.678519417743588" "-3.09466633307078" "-0.434919089893737"
"MPWI" "45" "-1.89398472979734" "-1.619289" "0.669980899915464" "-3.20712316396139" "-0.5808462956333"
"MPWI" "45" "-1.85138486729799" "-1.514027" "0.655845002755105" "-3.13681745213857" "-0.565952282457409"
"MPWI" "45" "-1.97507867589786" "-1.610473" "0.650534949225711" "-3.25010374706485" "-0.700053604730874"
"MPWI" "45" "-1.75210138790451" "-1.578166" "0.691344069712496" "-3.10711086546635" "-0.397091910342672"
"MPWI" "45" "-2.00159995060015" "-1.692475" "0.662604046149973" "-3.30028001706462" "-0.702919884135692"
"MPWI" "45" "-1.89740479350454" "-1.623869" "0.677990353184203" "-3.22624146761117" "-0.568568119397908"
"MPWI" "45" "-1.88584541638307" "-1.588702" "0.670922746050093" "-3.20082983504996" "-0.570860997716173"
"MPWI" "45" "-1.75546274942553" "-1.529564" "0.689781621271081" "-3.10740988431449" "-0.403515614536559"
"MPWI" "45" "-1.89396414432179" "-1.645213" "0.694874421626138" "-3.25589298448712" "-0.532035304156457"
"MPWI" "45" "-1.8829148123767" "-1.584251" "0.673154294024385" "-3.20227298470298" "-0.563556640050418"
"MPWI" "45" "-2.03061378143526" "-1.697989" "0.656808667177594" "-3.3179351138371" "-0.743292449033421"
"MPWI" "45" "-1.84937377835899" "-1.529611" "0.669133176785589" "-3.16085070571962" "-0.537896850998365"
"MPWI" "45" "-1.87177281504677" "-1.576719" "0.656638072680515" "-3.15875978837837" "-0.584785841715166"
"MPWI" "45" "-1.85227967787078" "-1.615965" "0.690582917524688" "-3.20579732455776" "-0.498762031183792"
"MPWI" "45" "-1.76207334310373" "-1.506057" "0.688826222599068" "-3.11214793100467" "-0.411998755202784"
"MPWI" "45" "-1.93025077338788" "-1.578312" "0.66124258284455" "-3.22626242080744" "-0.634239125968319"
"MPWI" "45" "-1.69512628819544" "-1.514887" "0.698545224691665" "-3.06424977016354" "-0.326002806227337"
"MPWI" "45" "-1.88181617003972" "-1.648464" "0.683099020163979" "-3.22066564743572" "-0.54296669264372"
"MPWI" "45" "-1.88764528753309" "-1.623475" "0.684084686846986" "-3.22842663612855" "-0.546863938937642"
"MPWI" "45" "-1.89629688929327" "-1.623823" "0.678879564693084" "-3.22687638593195" "-0.565717392654598"
"MPWI" "45" "-2.00373112156448" "-1.670935" "0.669145300898319" "-3.3152318117494" "-0.692230431379552"
"MPWI" "45" "-1.80580787490058" "-1.549001" "0.6887500042135" "-3.15573307751085" "-0.455882672290304"
"MPWI" "45" "-1.97976742755608" "-1.674938" "0.66306456949096" "-3.27935010318291" "-0.680184751929239"
"MPWI" "45" "-1.96038271698245" "-1.608089" "0.653698525825445" "-3.24160828434725" "-0.679157149617653"
"MPWI" "45" "-2.02554360622842" "-1.697365" "0.658455687254692" "-3.31609303866318" "-0.734994173793654"
"MPWI" "45" "-1.89474886530065" "-1.588376" "0.672632239041291" "-3.21308382866212" "-0.576413901939186"
"MPWI" "45" "-1.84227616678753" "-1.547328" "0.6795963354996" "-3.17426050839214" "-0.510291825182911"
"MPWI" "45" "-1.82242442369625" "-1.515931" "0.68240329702834" "-3.15991030880319" "-0.484938538589319"
"MPWI" "45" "-1.75232605865082" "-1.500214" "0.683805186030954" "-3.0925595957132" "-0.41209252158844"
"MPWI" "45" "-1.8914055642042" "-1.548575" "0.667104704904199" "-3.19890675973365" "-0.58390436867475"
"MPWI" "45" "-1.76091211525912" "-1.536338" "0.700473650776444" "-3.13381524290023" "-0.388008987618"
"MPWI" "45" "-1.80363414495688" "-1.501126" "0.657166457059843" "-3.09165673264196" "-0.515611557271798"
"MPWI" "45" "-1.801125213611" "-1.520805" "0.684498353586308" "-3.14271733411712" "-0.459533093104871"
"MPWI" "45" "-1.77446136773249" "-1.522935" "0.686358764993959" "-3.11969982759404" "-0.429222907870943"
"MPWI" "45" "-2.06867591279208" "-1.711121" "0.6529207966205" "-3.34837715892546" "-0.788974666658705"
"MPWI" "45" "-1.75337082422748" "-1.537669" "0.676686959279973" "-3.07965289322415" "-0.427088755230807"
"MPWI" "45" "-1.82926550305057" "-1.536609" "0.674544900935175" "-3.15134921483865" "-0.507181791262488"
"MPWI" "45" "-1.92205700931328" "-1.613515" "0.658598534827863" "-3.21288641784674" "-0.631227600779817"
"MPWI" "45" "-1.80833033836406" "-1.566008" "0.669235728653608" "-3.12000826369256" "-0.496652413035573"
"MPWI" "45" "-1.8667771942421" "-1.55254" "0.663443435149042" "-3.16710243291376" "-0.566451955570443"
"MPWI" "45" "-1.92816273738964" "-1.65365" "0.687874507345488" "-3.27637199767003" "-0.57995347710925"
"MPWI" "45" "-1.78868159341132" "-1.517002" "0.673017582028893" "-3.10777181515018" "-0.469591371672457"
"MPWI" "45" "-1.88392326899505" "-1.591445" "0.668165411963314" "-3.19350341215852" "-0.574343125831588"
"MPWI" "45" "-1.97151535556265" "-1.66472" "0.676734039313816" "-3.29788969973004" "-0.645141011395257"
"MPWI" "45" "-1.80470377365685" "-1.571114" "0.691812326219059" "-3.16063101710708" "-0.44877653020662"
"MPWI" "45" "-1.97129664743071" "-1.639188" "0.655884584816971" "-3.25680681168698" "-0.685786483174439"
"MPWI" "45" "-1.77123572338482" "-1.558668" "0.695864184388853" "-3.13510446291832" "-0.407366983851332"
"MPWI" "45" "-1.7925888620892" "-1.503852" "0.687922565304594" "-3.14089231423861" "-0.444285409939794"
"MPWI" "45" "-2.07439861688534" "-1.71404" "0.653811988906401" "-3.35584656780239" "-0.792950665968298"
"MPWI" "45" "-1.96666006258606" "-1.647172" "0.657865442389895" "-3.25605263634376" "-0.677267488828356"
"MPWI" "45" "-1.87240234286276" "-1.512749" "0.652764776739505" "-3.15179779564852" "-0.593006890077003"
"MPWI" "45" "-1.94135534701991" "-1.635858" "0.65883522364296" "-3.2326486571065" "-0.650062036933314"
"MPWI" "45" "-1.96186481251409" "-1.58503" "0.653626868989476" "-3.24294993506115" "-0.680779689967038"
"MPWI" "45" "-1.84813903988159" "-1.51888" "0.674516429036153" "-3.17016694777302" "-0.526111131990168"
"MPWI" "45" "-1.84825413923263" "-1.508629" "0.648380376924208" "-3.11905632628658" "-0.577451952178676"
"MPWI" "45" "-1.99218854884721" "-1.664486" "0.66754620366272" "-3.30055506604258" "-0.683822031651837"
"MPWI" "45" "-2.05121193258822" "-1.707138" "0.65930697360089" "-3.34342985560206" "-0.758994009574375"
"MPWI" "45" "-1.87292663068557" "-1.598631" "0.665814694786006" "-3.17789945284367" "-0.567953808527476"
"MPWI" "45" "-1.7708203733743" "-1.505671" "0.667929415084471" "-3.07993797115477" "-0.461702775593836"
"MPWI" "45" "-1.77238870283244" "-1.554033" "0.697587443607538" "-3.13963496837058" "-0.405142437294301"
"MPWI" "45" "-1.80870359056887" "-1.513098" "0.672058328402494" "-3.12591370974795" "-0.491493471389791"
"MPWI" "45" "-1.8555747784655" "-1.533279" "0.659240353784719" "-3.14766212903899" "-0.563487427892008"
"MPWI" "45" "-1.98487641636602" "-1.595392" "0.644825077679561" "-3.2487103449462" "-0.721042487785836"
"MPWI" "45" "-1.8979179593955" "-1.618484" "0.667797946224715" "-3.20677788294576" "-0.589058035845246"
"MPWI" "45" "-1.86003073341675" "-1.5811" "0.680651321869786" "-3.19408281031111" "-0.525978656522393"
"MPWI" "45" "-1.76729172715014" "-1.58239" "0.725072543739312" "-3.18840779905803" "-0.346175655242245"
"MPWI" "45" "-1.9819109700457" "-1.594767" "0.645364930899989" "-3.24680299149486" "-0.717018948596538"
"MPWI" "45" "-1.91574818092725" "-1.598031" "0.663142355715608" "-3.21548331475289" "-0.616013047101611"
"MPWI" "45" "-1.89389923490937" "-1.571244" "0.669927691627906" "-3.20693338274612" "-0.580865087072619"
"MPWI" "9" "1.87247547826617" "-1.553081" "0.483934165959492" "0.923981942097131" "2.8209690144352"
"MPWI" "45" "-1.79633713349854" "-1.536345" "0.665721016823571" "-3.10112635022412" "-0.491547916772958"
"MPWI" "45" "-1.85059045341817" "-1.561789" "0.656985551980713" "-3.13825847366353" "-0.562922433172803"
"MPWI" "45" "-2.0570516975949" "-1.707391" "0.656100234874159" "-3.34298452819652" "-0.771118866993274"
"MPWI" "45" "-1.80449233880984" "-1.53253" "0.670208993065054" "-3.1180778273322" "-0.490906850287482"
"MPWI" "45" "-1.80763449409972" "-1.58124" "0.680888921093881" "-3.14215225691606" "-0.473116731283379"
"MPWI" "45" "-1.95155435349974" "-1.654431" "0.677745850479665" "-3.27991181111136" "-0.623196895888133"
"MPWI" "45" "-1.78591643834034" "-1.510623" "0.677178775210036" "-3.11316244884696" "-0.45867042783373"
"MPWI" "45" "-1.79485467995854" "-1.545896" "0.682879477525208" "-3.13327386168947" "-0.456435498227601"
"MPWI" "45" "-1.83368329857351" "-1.608105" "0.676315019016" "-3.15923637804839" "-0.508130219098625"
"MPWI" "45" "-1.71378188578372" "-1.567717" "0.735237912657522" "-3.15482171466087" "-0.272742056906573"
